ra_bin_deg,dec_bin_deg,n_stars
11.0,-14.0,15489
11.0,-13.0,16715
11.0,-12.0,17604
11.0,-11.0,18083
11.0,-10.0,18534
11.0,-9.0,19118
11.0,-8.0,19475
11.0,-7.0,20468
11.0,-6.0,20970
11.0,-5.0,21831
11.0,-4.0,22919
11.0,-3.0,24440
11.0,-2.0,25844
11.0,-1.0,26000
11.0,0.0,27343
11.0,1.0,32067
11.0,2.0,33854
11.0,3.0,40479
11.0,4.0,54447
11.0,5.0,70545
11.0,6.0,71107
11.0,7.0,89802
11.0,8.0,126455
11.0,9.0,150064
11.0,10.0,96708
11.0,11.0,131625
11.0,12.0,97181
11.0,13.0,50396
11.0,14.0,39178
11.0,15.0,23786
11.0,16.0,11160
11.0,17.0,2510
12.0,-18.0,3661
12.0,-17.0,9353
12.0,-16.0,12796
12.0,-15.0,16080
12.0,-14.0,18102
12.0,-13.0,18292
12.0,-12.0,19257
12.0,-11.0,19698
12.0,-10.0,19957
12.0,-9.0,21093
12.0,-8.0,21252
12.0,-7.0,22797
12.0,-6.0,23615
12.0,-5.0,24812
12.0,-4.0,26453
12.0,-3.0,28246
12.0,-2.0,30295
12.0,-1.0,32602
12.0,0.0,31450
12.0,1.0,36715
12.0,2.0,37075
12.0,3.0,43106
12.0,4.0,59208
12.0,5.0,68307
12.0,6.0,104313
12.0,7.0,95748
12.0,8.0,137814
12.0,9.0,144475
12.0,10.0,137999
12.0,11.0,138824
12.0,12.0,73753
12.0,13.0,44760
12.0,14.0,40411
12.0,15.0,22678
12.0,16.0,10702
12.0,17.0,2448
13.0,-18.0,3714
13.0,-17.0,9187
13.0,-16.0,13662
13.0,-15.0,26266
13.0,-14.0,31090
13.0,-13.0,20843
13.0,-12.0,20528
13.0,-11.0,21445
13.0,-10.0,22239
13.0,-9.0,23354
13.0,-8.0,24504
13.0,-7.0,25358
13.0,-6.0,27077
13.0,-5.0,28895
13.0,-4.0,30474
13.0,-3.0,32161
13.0,-2.0,36439
13.0,-1.0,41331
13.0,0.0,42692
13.0,1.0,48230
13.0,2.0,46231
13.0,3.0,53977
13.0,4.0,63199
13.0,5.0,65830
13.0,6.0,111973
13.0,7.0,98626
13.0,8.0,178626
13.0,9.0,126714
13.0,10.0,126830
13.0,11.0,120453
13.0,12.0,61959
13.0,13.0,50406
13.0,14.0,37849
13.0,15.0,21311
13.0,16.0,10450
13.0,17.0,2543
14.0,-18.0,3667
14.0,-17.0,9600
14.0,-16.0,15582
14.0,-15.0,65199
14.0,-14.0,136622
14.0,-13.0,26959
14.0,-12.0,22654
14.0,-11.0,24077
14.0,-10.0,25025
14.0,-9.0,26550
14.0,-8.0,28488
14.0,-7.0,29817
14.0,-6.0,31679
14.0,-5.0,34069
14.0,-4.0,37072
14.0,-3.0,39145
14.0,-2.0,46388
14.0,-1.0,54399
14.0,0.0,61821
14.0,1.0,70578
14.0,2.0,66785
14.0,3.0,77077
14.0,4.0,97688
14.0,5.0,93885
14.0,6.0,108482
14.0,7.0,149230
14.0,8.0,240154
14.0,9.0,180422
14.0,10.0,119735
14.0,11.0,93167
14.0,12.0,65714
14.0,13.0,52159
14.0,14.0,34665
14.0,15.0,19895
14.0,16.0,9973
14.0,17.0,2468
15.0,-18.0,3582
15.0,-17.0,9529
15.0,-16.0,17294
15.0,-15.0,113715
15.0,-14.0,298825
15.0,-13.0,41469
15.0,-12.0,25883
15.0,-11.0,27075
15.0,-10.0,29077
15.0,-9.0,32848
15.0,-8.0,33126
15.0,-7.0,36041
15.0,-6.0,38731
15.0,-5.0,42711
